,L,R,F,M,C
0,90 days 04:48:00,0.03333333333333333,210,580717,0.961639043
1,86 days 13:36:00,0.23333333333333334,140,293678,1.25231444
2,87 days 04:00:00,0.36666666666666664,135,283712,1.254675516
3,68 days 05:36:00,3.2333333333333334,23,281336,1.090869565
4,60 days 12:48:00,0.16666666666666666,152,309928,0.970657895
5,74 days 16:48:00,2.6333333333333333,92,294585,0.967692483
6,97 days 16:48:00,0.03333333333333333,101,287042,0.965346535
7,48 days 09:36:00,0.1,73,287230,0.962070222
8,34 days 06:24:00,0.2,56,321489,0.828478237
9,45 days 12:00:00,0.5,64,375074,0.708010153
10,40 days 23:12:00,0.7333333333333333,43,262013,0.988658044
11,114 days 04:00:00,0.2,145,271438,0.95253487
12,89 days 12:00:00,2.2333333333333334,29,321529,0.799126984
13,90 days 11:12:00,0.1,118,179514,1.398381742
14,50 days 15:12:00,0.06666666666666667,50,270067,0.921984841
15,73 days 03:12:00,2.1666666666666665,22,234721,1.026084586
16,45 days 04:00:00,0.23333333333333334,101,172231,1.3865249
17,41 days 05:36:00,1.5,40,284160,0.837844243
18,97 days 04:48:00,0.06666666666666667,64,169358,1.401596264
19,31 days 12:00:00,0.8,38,332896,0.70828541
20,69 days 00:00:00,0.13333333333333333,106,167113,1.369404116
21,34 days 06:24:00,0.2,23,214590,1.061630924
22,109 days 05:36:00,0.7666666666666667,94,305250,0.741803833
23,48 days 06:24:00,2.466666666666667,20,222380,1.004904443
24,50 days 04:48:00,0.5666666666666667,44,281837,0.787308444
25,42 days 03:12:00,0.5666666666666667,62,243674,0.902990019
26,87 days 04:00:00,0.1,213,187917,1.146354614
27,112 days 01:36:00,0.36666666666666664,74,148685,1.433364428
28,100 days 04:00:00,0.6,101,159129,1.33816985
29,70 days 11:12:00,0.36666666666666664,87,149254,1.424714581
30,97 days 00:48:00,0.06666666666666667,53,144076,1.469224298
31,113 days 18:24:00,0.26666666666666666,95,149053,1.414895104
32,109 days 04:48:00,0.5333333333333333,131,220948,0.944884271
